title,year,director,runtime,cast
Home Alone 4,2002,Rod Daniel,84,"['French Stewart', 'Erick Avari', 'Barbara Babcock', 'Jason Beghe', 'Clare Carey', 'Joanna Going', 'Missi Pyle', 'Chelsea Russo', 'Gideon Jacobs', 'Mike Weinberg', 'Lisa King', 'Sean Cameron Michael', 'Craig Geldenhuys', 'Andre Roothman', 'Anton Smuts', 'Sabine Mièl Fischer', 'Donny Watrous']"
Home Alone: The Holiday Heist,2012,Peter Hewitt,87,"['Christian Martyn', 'Eddie Steeples', 'Jodelle Ferland', 'Doug Murray', 'Ellie Harvie', 'Debi Mazar', 'Malcolm McDowell', 'Ed Asner', ""Adriana O'Neil"", 'Peter DaCunha', 'Bill Turnbull', 'Gordon Tanner', 'Bryan Terrell Clark', 'Chris Sigurdson', 'Pamela Iveta', 'Sandy Taronno', 'Karin Ens', 'Darcie Pankratz Meighen', 'Rebecca Harder', 'Vic Pankratz', 'Alexander Schoenwetter', 'Michael Dunbar', 'Andrew Koropatnick', 'Jeff Strome', 'Darren Ross', 'Scott Johnson', 'Ahmad Harhash', 'James Start']"
A Christmas Carol,2009,Robert Zemeckis,94,"['Jim Carrey', 'Gary Oldman', 'Colin Firth', 'Robin Wright', 'Cary Elwes', 'Bob Hoskins', 'Daryl Sabara', 'Steve Valentine', 'Sage Ryan', 'Amber Gainey Meade', 'Ryan Ochoa', 'Bobbi Page', 'Ron Bottitta', 'Fionnula Flanagan', 'Samantha Hanratty', 'Julian Holloway', 'Jacquie Barnbrook', 'Lesley Manville', 'Molly C. Quinn', 'Fay Masterson', 'Leslie Zemeckis', 'Paul Blackthorne', 'Michael Hyland', 'Kerry Hoyt', 'Julene Renee', 'Raymond Ochoa', 'Callum Blue', 'Matthew Henerson', 'Aaron Rapke', 'Sonje Fortag']"
Indie Game: The Movie,2012,James Swirsky,103,"['Jonathan Blow', 'Phil Fish', 'Edmund McMillen', 'Tommy Refenes']"
Room 237,2012,Rodney Ascher,102,"['Bill Blakemore', 'Geoffrey Cocks', 'Juli Kearns', 'John Fell Ryan', 'Jay Weidner']"
The Green Hornet,2011,Michel Gondry,119,"['Seth Rogen', 'Jay Chou', 'Cameron Diaz', 'Tom Wilkinson', 'Christoph Waltz', 'Edward James Olmos', 'David Harbour', 'Chad L. Coleman', 'Jamie Harris', 'Edward Furlong', 'Jill Remez', ""Joe O'Connor"", 'Morgan Rusler', 'Joshua Erenberg', 'Lio Tipton', 'Taylor Cole', 'Robert Clotworthy', 'Jamison Yang', 'Michael Holden', 'Irene White', 'Gary Davis', 'Billy Mayo', 'Brandon Rudat', 'Beverly Brooks', 'Lu Parker', 'George Fisher', 'Diane Mizota', 'Theodore Bressman', 'Dave Rickley', 'Dina Mamedoya', 'Tanner Gill', 'George Fisher', 'Daniel Arrias', 'Eddie Perez', 'Bryan Thompson', 'Reuben Langdon', 'Amir Abdalla', 'Alexandra Lord', 'Christy Petersen', 'Frederick C. Ruiz', 'Keith Adams', 'Dennis Keiffer', 'Travon Magee', 'David Powledge', 'Jerry Trimble', 'Melissa Barker', 'James Franco', 'Thomas Rosales Jr.', 'Matt McColm', 'John Koyama', 'Joey Courteau']"
Exit Through the Gift Shop,2010,Banksy,87,"['Banksy', 'Shepard Fairey', 'Thierry Guetta', 'Rhys Ifans', 'INVADER', 'Debora Guetta', 'Monsieur André', 'Zeus', 'Ron English', 'Swoon', 'Borf', 'Buffmonster', 'Steve Lazarides', 'Wendy Asher', 'Laurent Nahoum-Vatinet', 'Roger Gastman']"
Get Smart,2008,Peter Segal,110,"['Steve Carell', 'Anne Hathaway', 'Dwayne Johnson', 'Alan Arkin', 'Terence Stamp', 'James Caan', 'Bill Murray', 'Patrick Warburton', 'Terry Crews', 'David Koechner', 'Masi Oka', 'Nate Torrence', 'Ken Davitian', 'David S. Lee', 'Dalip Singh', 'Geoff Pierson', 'Kelly Karbacz', 'Arthur Darbinyan', 'Bill Romanowski', 'Mark Ivanir', 'Lindsay Hollister', 'Dimitri Diatchenko', 'Richard V. Licata', 'Greg Joung Paik', 'Joey Yu', 'Mike Akrawi', 'John Abiskaron', 'Kerry Lai Fatt', 'David A. Parker', 'Bonnie Hellman', 'John Farley', 'Jonathan Loughran', 'Felisha Terrell', 'Jeff Tanner', 'Jasper Pendergrass', 'Carl Crevier', 'David Schaap', 'Peter Weireter', 'Thomas Garner ', 'Danielle Bisutti', 'Jessica Barth', 'David Fabrizio', 'John Eddins', 'Alex Kudrytsky', 'Tatyana Kaboulova', 'Moshana Halbert', 'Sergei Priselkov', 'Jane Gilchrist', 'Todd Sherry', 'David Aranovich', 'Ivy Bethune', 'Larry Miller', 'Kevin Nealon', 'Blake Clark', 'Cedric Yarbrough', 'James Moses Black', 'Bernie Kopell', 'Michael P. Catanzarite', 'Tim DeKay', 'Jerry Sherman', 'Matthew Glave', 'Brad Grunberg', 'Leonard B. Stern', 'Sean Segal', 'Stephen Dunham', 'Jennifer De Minco', 'Karri Turner', 'Ryan Seacrest', 'William Charlton', 'Nadia David', 'Aurelius DiBarsanti', 'Fred Fein', 'Mo Gallini', 'Sam Hale', 'Butch Klein', 'Sophia Lansky', 'Joshua Leary', 'Phoebe Price', 'Nicholas Rich', 'Shant Sarkissian', 'Julian Scott Urena', 'Gunter Ziegler', 'Vinicius Zorin-Machado']"
Capote,2005,Bennett Miller,114,"['Philip Seymour Hoffman', 'Catherine Keener', 'Clifton Collins Jr.', 'Bruce Greenwood', 'Bob Balaban', 'Mark Pellegrino', 'Marshall Bell', 'Amy Ryan', 'Bess Meyer', 'Chris Cooper', 'Allie Mickelson', 'Craig Archibald', 'Bronwen Coleman', 'Kate Shindle', 'David Wilson Barnes', 'Michael J. Burg', 'Kwesi Ameyaw', 'Andrew Farago', 'Kelci Stephenson', 'C. Ernst Harth', 'Kjartan Hewitt', 'Nazariy Demkowicz']"
Saw,2004,James Wan,103,"['Cary Elwes', 'Leigh Whannell', 'Danny Glover', 'Monica Potter', 'Ken Leung', 'Makenzie Vega', 'Michael Emerson', 'Shawnee Smith', 'Dina Meyer', 'Alexandra Bokyun Chun', 'Tobin Bell', 'Mike Butters', 'Paul Gutrecht', 'Benito Martinez', 'Ned Bellamy', 'Avner Garbi', 'Hans Raith', 'Oren Koules']"
Hulk,2003,Ang Lee,138,"['Eric Bana', 'Jennifer Connelly', 'Sam Elliott', 'Josh Lucas', 'Nick Nolte', 'Paul Kersey', 'Cara Buono', 'Kevin Rankin', 'Todd Tesen', 'Celia Weston', 'Mike Erwin', 'Lou Ferrigno', 'Stan Lee', 'Regi Davis', 'Craig Damon', 'Geoffrey Scott', 'Regina McKee Redwing', 'Daniel Dae Kim', 'Daniella Kuhn', 'Michael Kronenberg', 'David Kronenberg', 'Rhiannon Leigh Wryn', 'Lou Richards', 'Jennifer Gotzon', 'Louanne Kelley', 'Toni Kallen', 'Paul Hansen Kim', 'John Littlefield', 'Lorenzo Callender', 'Todd Lee Coralli', 'Johnny Kastl', 'Eric Ware', 'Jesse Corti', 'Rob Swanson', 'Mark Atteberry', 'Eva Burkley', 'Rondda Holeman', 'John A. Maraffi', 'Michael Papajohn', 'David St. Pierre', 'Boni Yanagisawa', 'David Sutherland', 'Sean Mahon', 'Brett Thacher', 'Kirk B.R. Woller', 'Randy Neville', 'John Prosky', 'Amir Faraj', 'Ricardo Aguilar', 'Victor Rivers', 'Lyndon Karp', 'Rick Avery', 'Thomas Rosales Jr.', 'Ang Lee', 'Ray Buffer', 'Andy Arness', 'Rory J. Aylward', 'Cougar Zank']"
Drumline,2002,Charles Stone III,118,"['Nick Cannon', 'Zoe Saldaña', 'Orlando Jones', 'Leonard Roberts', 'Earl Poitier', 'Jason Weaver', 'Candace Carey', 'Shay Roundtree', 'Miguel A. Gaetan', 'J. Anthony Brown', 'Afemo Omilami', 'Tyreese Burnett', 'Brandon Hirsch', 'Angela Elayne Gibbs', 'GQ']"
Happy Gilmore,1996,Dennis Dugan,92,"['Adam Sandler', 'Christopher McDonald', 'Julie Bowen', 'Frances Bay', 'Carl Weathers', 'Allen Covert', 'Robert Smigel', 'Bob Barker', 'Richard Kiel', 'Dennis Dugan', 'Joe Flaherty', 'Lee Trevino', 'Kevin Nealon', 'Verne Lundquist', 'Jared Van Snellenberg', 'Ken Camroux-Taylor', 'Rich Elwood', 'Nancy Hillis', 'Helena Yea', 'Will Sasso', 'Dee Jay Jackson', 'Ellie Harvie', 'Ian Boothby', 'Andrew Johnston', 'Kim Restell', 'Fred Perron', 'Helen Honeywell', 'Paul Raskin', 'William Samples', 'John Shaw', 'Ted Deekan', 'John Destry', 'James Crescenzo', 'Brett Armstrong', 'Peter Kelamis', 'Stephen Tibbetts', 'Ed Lieberman', 'Donnie MacMillan', ""Louis O'Donoghue"", 'Lisanne Collett', 'Stephen Dimopoulos', 'Douglas Newell', 'Frank L. Frazier', 'David Kaye', 'Zachary Webb', 'Simon Webb', 'Mark Lye', 'Betty Linde', 'Dave Cameron', 'Louis Kliman', 'Brent Chapman', 'Jessica Gunn', 'Phillip Beer', 'Fat Jack', 'Michelle Holdsworth', 'Charles L. Brame', 'Elizabeth Duff', 'Carrie Fleming', 'Jack Giarraputo', 'Brennan Kotowich', 'Michael Roberds', 'Joe Sakic', 'Ben Stiller', 'Valarie Trapp', 'Heath Young']"
The Muppet Christmas Carol,1992,Brian Henson,85,"['Michael Caine', 'Dave Goelz', 'Steve Whitmire', 'Jerry Nelson', 'Frank Oz', 'David Rudman', 'Don Austen', 'Jessica Fox', 'Robert Tygner', 'Steven Mackintosh', 'Meredith Braun', 'Robin Weaver', 'Raymond Coulthard', 'Russell Martin', 'Theo Sanders', 'Kristopher Milnes', 'Edward Sanders', 'Anthony Hamblin', 'Fergus Brazier', 'Ian Allen', 'David Alan Barclay', 'David Shaw-Parker', 'Robbie Barnett', 'James Barton', 'Joan Barton', 'Michael Bayliss', 'Simon Buckley', 'David Bulbeck', 'Marcus Clarke', 'Craig Crane', 'Sue Dacre', 'Taylor David', 'John Eccleston', 'Geoff Felix', 'Kate Frost', 'Ken Haines', 'Ronnie Le Drew', 'William Todd-Jones', 'Christopher Leith', 'Anthony Lymboura', 'Rebecca Nagan', 'Angie Passmore', 'Peter Passmore', 'Nigel Plaskitt', 'Judy Preece', 'Sally Preisig', 'Gillie Robic', 'Tim Rose', 'Kaefan Shaw', 'David Showler', 'John Thirtle', 'Ian Thom', 'Mark Alexander Todd', 'Ian Tregonning', 'Simon J. Williamson', 'Victoria Willing', 'Mike Quinn', 'Phill Woodfine', 'Karen Prell', 'Jack Angel', 'Hyma Beckley', 'Caroline Dillon', 'Bill Farmer', 'Louise Gold', 'Patrick Pinney', 'Phil Proctor', 'Peter Robbins']"
Monty Python's The Meaning of Life,1983,Terry Jones,107,"['Terry Gilliam', 'Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Jones', 'Michael Palin', 'Carol Cleveland', 'Simon Jones', 'Patricia Quinn', 'Judy Loe', 'Andrew Bicknell', 'Andrew MacLachlan', 'Mark Holmes', 'Valerie Whittington', 'Jennifer Franks', 'Imogen Bickford-Smith', 'Angela Mann', 'Matt Frewer', 'Michael Caine']"
Tron,1982,Steven Lisberger,96,"['Jeff Bridges', 'Bruce Boxleitner', 'David Warner', 'Cindy Morgan', 'Barnard Hughes', 'Dan Shor', 'Peter Jurasik', 'Tony Stephano', 'Craig Chudy', 'Vince Deadrick Jr.', 'Sam Schatz', 'Michael Dudikoff', 'Jackson Bostwick']"
Muppet Treasure Island,1996,Brian Henson,100,"['Tim Curry', 'Billy Connolly', 'Jennifer Saunders', 'Kevin Bishop', 'Dave Goelz', 'Steve Whitmire', 'Jerry Nelson', 'Kevin Clash', 'Bill Barretta', 'Frank Oz', 'John Henson', 'Danny Blackner', 'Peter Geeves', 'Harry Jones', 'David J. Nicholls', 'Frederick Warder', 'Nigel Plaskitt', 'Louise Gold', 'John Eccleston', 'Simon Buckley', 'Katherine Smee', 'Andrew James Spooner', 'Robbie Barnett', 'James Barton', 'Michael Bayliss', 'Charles Broughton', 'David Bulbeck', 'Dave Chapman', 'Marcus Clarke', 'Sue Dacre', 'Taylor David', 'Geoff Felix', 'Mike Gallant', 'Pat Garrett', 'Barnaby Harrison', 'Mark Jefferis', 'William Todd-Jones', 'Robin Kingsland', 'Steven Kynman', 'Christopher Leith', 'Anthony Lymboura', 'Mark Mansfield', 'Joan Morris', 'Rebecca Nagan', ""Margaret O'Flaherty"", 'Angie Passmore', 'Peter Passmore', 'Marie Phillips', 'Mike Quinn', 'Gillie Robic', 'Helena Smee', 'John Thirtle', 'Ian Thom', 'Heather Tobias', 'Jürgen Tombers', 'Ian Tregonning', 'Robert Tygner', 'James Vaughan', 'John Wheatley', 'Victoria Willing', 'Phill Woodfine', 'Sarah Wright', 'Paul Zerdin', 'Jessica Hamilton', 'Brian Henson', 'Brian Herring', 'Mark Alexander Todd', 'Peter Robbins']"
Multiple Maniacs,1970,John Waters,97,"['Divine', 'David Lochary', 'Mary Vivian Pearce', 'Mink Stole', 'Cookie Mueller', 'Edith Massey', 'Susan Lowe', 'Rick Morrow', 'Howard Gruber', 'Paul Swift', 'Vincent Peranio', 'Jim Thompson', 'Dee Vitolo', 'Ed Peranio', 'Bob Skidmore', 'Margie Skidmore', 'Jack Walsh', 'Susan Walsh', 'Gilbert McGill', 'Pat Moran', 'Paul Landis', 'Mark Lazarus', 'Harvey Freed', 'Susie Nichols', 'Steve Waters', 'Julia Richardson', 'William Kirby Cullen', 'Jack Roberts', 'Mark Isherwood', 'Berenica Cipcus', 'Hawley Peterson', 'Tom Wells', 'Michael Renner Jr.', 'Cowboy Foulke', 'George Figgs', 'Alan Reese']"
Spotlight,2015,Tom McCarthy,129,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber', 'John Slattery', 'Stanley Tucci', ""Brian d'Arcy James"", 'Gene Amoroso', 'Billy Crudup', 'Maureen Keiller', 'Paul Guilfoyle', 'Len Cariou', 'Neal Huff', 'Michael Cyril Creighton', 'Laurie Heineman', 'Tim Progosh', 'Elena Wohl', 'Doug Murray', 'Sharon McFarlane', 'Jamey Sheridan', 'Robert B. Kennedy', 'Duane Murray', 'Brian Chamberlain', 'Michael Countryman', 'Tim Whalen', 'Brad Borbridge', 'Don Allison', 'Patty Ross', 'Paloma Nuñez', 'Robert Clarke', 'Gary Galone', 'David Fraser', 'Paulette Sinclair', 'Elena Juatco', 'Nancy Villone', 'Wendy Merry', 'Siobhan Murphy', 'Eileen Padua', 'Darrin Baker', 'Joe Stapleton', 'Jimmy LeBlanc', 'Neion George', 'Laurie Murdoch', 'Zarrin Darnell-Martin', 'Krista Morin', 'Paula Barrett', ""Mairtin O'Carrigan"", 'Rob deLeeuw', 'Nancy E. Carroll', 'Anthony Paolucci', 'Michele Proude', ""Richard O'Rourke"", 'Dennis Lynch', 'Stefanie Drummond', 'Mark McGrinder', 'Richard Fitzpatrick', 'Tom Driscoll', 'Jeffrey Samai', 'Moira Driscoll', 'Forrest Weber', 'Doreen Spencer', 'Janet Pinnick', 'Shannon McDonough', 'Shannon Ruth', 'Daniel Ruth', 'Jennifer Ruth', 'Timothy Mooney', 'Bruce-Robert Serafin', 'Donna Sue Jahier', 'Edward Brickley', 'Brett Cramp', 'Richard Jenkins', 'John Franchi', 'Martin Roach', 'Elena Khan', 'Teresa Wilson', 'Amy Whalen', 'Peter Lewis Walsh', 'Lance Norris']"
Pink Flamingos,1972,John Waters,93,"['Divine', 'David Lochary', 'Mary Vivian Pearce', 'Mink Stole', 'Danny Mills', 'Edith Massey', 'Channing Wilroy', 'Cookie Mueller', 'Paul Swift', 'Susan Walsh', 'Linda Olgeirson', 'Pat Moran', 'Jack Walsh', 'Bob Skidmore', 'Pat Lefaiver', 'Jackie Sidel', 'Julie Munshauer', 'Steve Yeager', 'Nancy Crystal', 'George Figgs', 'John Oden', 'George Stoll', 'David Gluck', 'Elizabeth Coffey', 'Margie Donnelly', 'Margie Skidmore', 'Berenica Cipcus', 'Iris Burman', 'Randy Burman', 'Don Blumberg', 'Vincent Peranio', 'Bob Adams', 'Mark Lazarus', 'David Lehman', 'Catriona Maloney', 'Richard Keller', 'Charlie Swope', 'Barry Golome', 'Ed Peranio', 'Elia Katz', 'Steve Waters', 'Billy Davis', 'Howard Gruber', 'Van Smith', 'Chuck Yeaton', 'Laurie Birnbaum', 'Lenny Taylor', 'Trick Grantham', 'Mark Isherwood', 'Randy Damm', 'Alan Reese', 'Alberta Reese', 'Cowboy Foulke', 'David Sanders', 'Brigette Grey', 'John Herndon', 'Ellis Clark', 'Joe Wilepski', 'Paul Landis', 'Lawrence Irvine', 'Marina Melin', 'Max Mueller', 'John Waters']"
Palm Springs,2020,Max Barbakow,90,"['Andy Samberg', 'Cristin Milioti', 'J.K. Simmons', 'Peter Gallagher', 'Meredith Hagner', 'Camila Mendes', 'Tyler Hoechlin', 'Chris Pang', 'Jacqueline Obradors', 'June Squibb', 'Tongayi Chirisa', 'Dale Dickey', ""Conner O'Malley"", 'Jena Friedman', 'Brian Duffy', 'Martin Kildare', 'Lilli Birdsell', 'Ryan Sturtz', 'Clifford V. Johnson', 'Calki Garcia', 'Michelle Johnston', 'Isla Sellers', 'Matt Smith', 'Rebecca Smith', 'Jake Smith', 'Noah Smith', 'Rocky Bonifield', 'Erin Flannery', 'David Hutchison', 'Mark Kubr', 'David Philip Reed']"
Six by Sondheim,2013,Autumn de Wilde,86,"['Audra McDonald', 'Darren Criss', 'Jeremy Jordan', 'America Ferrera', 'Stephen Sondheim', 'Jarvis Cocker', 'Yvonne De Carlo', 'Jackie Hoffman', 'Dean Jones', 'Angela Lansbury', 'Bette Midler', 'Laura Osnes', 'Barbara Barrie', 'Charles Braswell', 'Susan Browning', 'Judy Bruno Bennett', 'Glenn Close', 'George Coe', 'John Cunningham', 'Judi Dench', 'Steve Elmore', 'George Hearn', 'Beth Howland', 'Hugh Jackman', 'Glynis Johns', 'Larry Kert', 'Charles Kimbrough', 'Patti LaBelle', 'Gypsy Rose Lee', 'Jill Lord', 'Merle Louise', 'Donna McKechnie', 'Ethel Merman', 'Donna Murphy', 'Pamela Myers', 'Mandy Patinkin', 'Bernadette Peters', 'Teri Ralston', 'Jeffrey Schiller', 'Jere Shea', 'Frank Sinatra', 'Barbra Streisand', 'Elaine Stritch', 'Will Swenson', 'Eha Urbsalu', 'Cher']"
Female Trouble,1974,John Waters,98,"['Divine', 'David Lochary', 'Mary Vivian Pearce', 'Mink Stole', 'Edith Massey', 'Cookie Mueller', 'Susan Walsh', 'Ed Peranio', 'Paul Swift', 'George Figgs', 'Susan Lowe', 'George Hulse', 'Elizabeth Coffey', 'Channing Wilroy', 'Michael Potter']"
Polyester,1981,John Waters,86,"['Divine', 'Tab Hunter', 'Edith Massey', 'David Samson', 'Mary Garlington', 'Ken King', 'Mink Stole', 'Joni Ruth White', 'Hans Kramm', 'Stiv Bators', 'Rick Breitenfeld', 'Michael Watson', 'Derek Neal', 'Jean Hill', 'Mary Vivian Pearce', 'Sharon Niesp', 'Cookie Mueller', 'Marina Melin', 'Susan Lowe', 'Tom Diventi', 'George Hulse', 'Tony Parkham', 'Keats Smith', 'George Udell', 'Mrs. Horner']"
Desperate Living,1977,John Waters,90,"['Mink Stole', 'Jean Hill', 'Susan Lowe', 'Liz Renay', 'Edith Massey', 'Mary Vivian Pearce', 'Brook Yeaton', 'Karen Gerwig', 'Jay Allan', 'Al Strapelli', 'George Stover', 'Turkey Joe', 'Willie Brooks', 'James Yeaton', 'Ed Peranio', 'Steve Butow', 'Pirie Woods', 'H.C. Kliemisch', 'Paul Swift', 'George Figgs', 'Marina Melin', 'Cookie Mueller', 'Pat Moran', 'George Hulse', 'Dolores DeLuce', 'Channing Wilroy']"
Mandy,2018,Panos Cosmatos,122,"['Nicolas Cage', 'Andrea Riseborough', 'Linus Roache', 'Ned Dennehy', 'Olwen Fouéré', 'Richard Brake', 'Bill Duke', 'Line Pillet', 'Clément Baronnet', 'Alexis Julemont', 'Ivailo Dimitrov', 'Hayley Saywell', 'Stephan Fraser', 'Kalin Kerin', 'Tamás Hagyuó', 'Paul Painter', 'Zeva DuVall']"
Happy Death Day,2017,Christopher Landon,97,"['Jessica Rothe', 'Israel Broussard', 'Ruby Modine', 'Rachel Matthews', 'Billy Slaughter', 'Charles Aitken', 'Jimmy Gonzales', 'Jason Bayle', 'Rob Mello', 'Phi Vu', 'Caleb Spillyards', 'Laura Clifton', 'Cariella Smith', 'Tran Tran', 'Blaine Kern III', 'Dane Rhodes', 'Tenea Intriago', 'Missy Yager', 'Rachel Black', 'Donna DuPlantier', 'GiGi Erneta', 'Ramsey Anderson', 'Brady Lewis']"
Fantastic Mr. Fox,2009,Wes Anderson,87,"['George Clooney', 'Meryl Streep', 'Jason Schwartzman', 'Bill Murray', 'Willem Dafoe', 'Owen Wilson', 'Wallace Wolodarsky', 'Eric Chase Anderson', 'Michael Gambon', 'Jarvis Cocker', 'Wes Anderson', 'Robin Hurlstone', 'Hugo Guinness', 'Helen McCrory', 'Juman Malouf', 'Karen Duffy', 'Roman Coppola', 'Jeremy Dawson', 'Garth Jennings', 'Brian Cox', 'Tristan Oliver', 'James Hamilton', 'Steven M. Rales', 'Rob Hersov', 'Jennifer Furches', 'Allison Abbate', 'Molly Cooper', 'Adrien Brody', 'Mario Batali', 'Martin Ballard']"
A Nightmare on Elm Street,1984,Wes Craven,91,"['Heather Langenkamp', 'John Saxon', 'Ronee Blakley', 'Amanda Wyss', 'Jsu Garcia', 'Johnny Depp', 'Robert Englund', 'Charles Fleischer', 'Joseph Whipp', 'Lin Shaye', 'Joe Unger', 'Mimi Craven', 'Jack Shea', 'Ed Call', 'Sandy Lipton', 'David Andrews', 'Jeff Levine', 'Donna Woodrum', 'Shashawnee Hall', 'Carol Pritikin', 'Brian Reise', 'Ash Adams', 'Don Hannah', 'Leslie Hoffman', 'Paul Grenier', 'Kathi Gibbs', 'Chris Tashima', 'Antonia Yannouli', 'John Richard Petersen', 'Robert Shaye']"
The Host,2006,Bong Joon-ho,119,"['Song Kang-ho', 'Byun Hee-bong', 'Park Hae-il', 'Bae Doona', 'Ko A-sung', 'Oh Dal-su', 'Lee Jae-eung', 'Lee Dong-ho', 'Yoon Je-moon', 'Yim Pil-sung', 'Kim Roi-ha', 'Koh Soo-hee', 'Kim Hak-sun', 'Scott Wilson', 'Brian Rhee', 'Paul Lazar', 'David Anselmo', 'Baek Do-bin', 'Martin Lord Cayce', 'Choi Dae-sung', 'Choi Doo-yeong', 'Choi Jae-sup', 'Jung Seo-yoon', 'Philip Hersh', 'Jeong In-gi', 'Jeong Hyeong-Ho', 'Ji Ha-geon', 'Moon Hee-Ra', 'Jung Kang-hee', 'Kim Bi-bi', 'Kim Choo-wol', 'Kim Da-yeon', 'Kim Hyo-sun', 'Kim Jin-seon', 'Kim Nan-hee', 'Kim Sang-jo', 'Kwon Bang-hyeon', 'Kwon Byung-gil', 'Kwon Hyeok-pung', 'Lee Dong-yong', 'Lee Eung-jae', 'Lee Hoon-jin', 'Lee Jong-yoon', 'Lee Seung-jin', 'Min Kyung-jin', 'Clinton Morgan', 'Park Jeong-gi', 'Park Kyeong-mok', 'Park No-shik', 'Ra Mi-ran', 'Seo Ha-neul', 'Shin Seung-ri', 'Shin Hyun-jong', 'Son Young-soon', 'Son Jin-ho', 'Song Kyeong-ha', 'Yoo Seung-mok', 'Yoo Yeon-soo', 'Seo Young-ju', 'Ko Chang-seok', 'Park Jin-woo']"
The People Under the Stairs,1991,Wes Craven,102,"['Brandon Quintin Adams', 'Everett McGill', 'Wendy Robie', 'Ving Rhames', 'A.J. Langer', 'Sean Whalen', 'Bill Cobbs', 'Kelly Jo Minter', 'Jeremy Roberts', 'Conni Marie Brazelton', 'Josh Coxx', 'David Robinson', 'John Hostetter', 'George R. Parker', 'John Mahon', 'Teresa Velarde']"
eXistenZ,1999,David Cronenberg,97,"['Jennifer Jason Leigh', 'Jude Law', 'Ian Holm', 'Willem Dafoe', 'Don McKellar', 'Callum Keith Rennie', 'Christopher Eccleston', 'Sarah Polley', 'Robert A. Silverman', 'Oscar Hsu', 'Kris Lemche', 'Vik Sahay', 'Kirsten Johnson', 'James Kirchner', 'Balázs Koós', 'Stephanie Belding', 'Gerry Quigley']"
Pan's Labyrinth,2006,Guillermo del Toro,118,"['Ivana Baquero', 'Maribel Verdú', 'Sergi López', 'Doug Jones', 'Ariadna Gil', 'Álex Angulo', 'Roger Casamajor', 'Manolo Solo', 'César Vea', 'Iván Massagué', 'Gonzalo Uriarte', 'Eusebio Lázaro', 'Francisco Vidal', 'Juanjo Cucalón', 'Lina Mira', 'Mario Zorrilla', 'Sebastián Haro', 'Mila Espiga', 'Pepa Pedroche', 'Lalá Gatóo', 'Ana Sáez', 'Chani Martín', 'Milo Taboada', 'Fernando Albizu', 'Pedro G. Marzo', 'José Luis Torrijo', 'Íñigo Garcés', 'Fernando Tielve', 'Federico Luppi', 'Chicho Campillo', 'Pablo Adán']"
The Silence of the Lambs,1991,Jonathan Demme,119,"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn', 'Ted Levine', 'Anthony Heald', 'Brooke Smith', 'Diane Baker', 'Kasi Lemmons', 'Frankie Faison', 'Tracey Walter', 'Charles Napier', 'Danny Darst', 'Alex Coleman', 'Dan Butler', 'Paul Lazar', 'Ron Vawter', 'Roger Corman', 'Lawrence A. Bonney', 'Lawrence T. Wrentz', 'Don Brockett', 'Frank Seals Jr.', 'Stuart Rudin', 'Jeffrie Lane', 'Leib Lensky', ""George 'Red' Schwartz"", 'Jim Roche', 'James B. Howard', 'Bill Miller', 'Chuck Aber', 'Gene Borkan', 'Pat McNamara', 'Kenneth Utt', 'Darla', 'Adelle Lutz', 'Obba Babatundé', 'George Michael', 'Jim Dratfield', 'Stanton-Miranda', 'Rebecca Saxon', 'Cynthia Ettinger', 'Brent Hinkley', 'Steve Wyatt', 'David Early', 'Andre B. Blake', 'Bill Dalzell', 'Chris Isaak', 'Daniel von Bargen', 'Tommy Lafitte', 'Josh Broder', 'Buzz Kilman', 'Harry Northup', 'Lauren Roselli', 'Maria Skorobogatov', 'Lamont Arnold', 'John Hall', 'Ted Monte', 'George A. Romero', 'John W. Iwanonkiw', 'Robert W. Castle', 'Chris McGinn', 'Gary Goetzman']"
Us,2019,Jordan Peele,116,"[""Lupita Nyong'o"", 'Winston Duke', 'Shahadi Wright Joseph', 'Evan Alex', 'Tim Heidecker', 'Elisabeth Moss', 'Cali Sheldon', 'Noelle Sheldon', 'Yahya Abdul-Mateen II', 'Anna Diop', 'Madison Curry', 'Duke Nicholson', 'Napiera Groves', 'Kara Hayward', 'Lon Gowan', 'Alan Frazier', 'Dustin Ybarra', 'Nathan Harrington', 'Darrel Cherney', 'James Cobb', 'Alessandro Garcia', 'David M Sandoval Jr.', 'Ashley McKoy', 'Jordan Peele']"
The Thing,1982,John Carpenter,109,"['Kurt Russell', 'Keith David', 'Wilford Brimley', 'T.K. Carter', 'David Clennon', 'Richard Dysart', 'Charles Hallahan', 'Peter Maloney', 'Richard Masur', 'Donald Moffat', 'Joel Polis', 'Thomas G. Waites', 'Norbert Weisser', 'Larry J. Franco', 'Nate Irwin', 'William Zeman', 'Adrienne Barbeau', 'John Carpenter', 'Jed']"
